1:1 435:0.190017 287:0.180855 818:0.157496 248:0.151677 1236:0.15132 1234:0.141733 256:0.135281 588:0.134693 257:0.134434 55:0.134417 1374:0.132691 848:0.126802 157:0.125208 1095:0.125 647:0.122231 1195:0.121172 77:0.120801 285:0.120188 1228:0.118558 342:0.118209 221:0.117937 134:0.117598 255:0.114732 119:0.114337 700:0.113352 286:0.113043 595:0.108791 21:0.108468 725:0.106218 13:0.104909 1230:0.104613 179:0.103052 417:0.102283 10:0.101728 921:0.10125 275:0.100625 679:0.100144 478:0.100038 16:0.0985462 703:0.0975539 497:0.0958172 411:0.0956289 19:0.0951767 1389:0.0937666 355:0.0934246 721:0.0920302 753:0.0913655 967:0.0910531 766:0.0905519
2:1 1059:0.402353 419:0.387193 480:0.355645 1193:0.343277 570:0.243725 217:0.228228 1152:0.205521 1116:0.196888 163:0.182843 261:0.161797 1201:0.161055 425:0.159793 626:0.156248 314:0.150505 543:0.147141 475:0.146101 308:0.142245 494:0.135249 600:0.132585 264:0.132069 268:0.130808 1295:0.128868 800:0.126279 347:0.1258 810:0.123869 8:0.120737 1002:0.119161 22:0.118522 1249:0.118512 95:0.118353 1330:0.11805 101:0.117633 155:0.116417 15:0.115171 504:0.11388 222:0.11308 1170:0.11055 75:0.109104 1191:0.107543 1053:0.105193 1283:0.105162 105:0.104996 918:0.104162 351:0.103527 355:0.103102 438:0.101852 151:0.101297 1307:0.100103 730:0.0998463
3:1 38:0.214898 39:0.187186 679:0.172286 234:0.170009 369:0.166772 821:0.165836 1228:0.157317 942:0.150513 1359:0.147505 1239:0.141279 1226:0.138555 753:0.135741 423:0.135099 232:0.129374 1492:0.128299 1496:0.125855 476:0.12452 123:0.121358 179:0.118757 703:0.115576 630:0.113537 17:0.110765 367:0.108501 1081:0.107489 690:0.10598 818:0.105576 466:0.104537 633:0.104264 1219:0.102132 235:0.0992302 363:0.0986072 137:0.0985207 930:0.0966316 1326:0.0959724 1194:0.0950838 475:0.0948048 374:0.0940247 125:0.0934843 743:0.0930494 637:0.0925127 1091:0.0880683 240:0.0867228 18:0.0861381 438:0.0861376 545:0.0858848 943:0.0848204 562:0.0841597 372:0.0829453 230:0.0827564
4:1 301:0.202846 805:0.193181 191:0.183914 1306:0.168032 1177:0.14663 586:0.13582 684:0.126673 510:0.119663 278:0.11939 338:0.115145 126:0.112817 482:0.112463 777:0.111149 142:0.10713 418:0.107057 264:0.105987 579:0.103253 263:0.0990669 729:0.0987621 453:0.0969991 259:0.0952551 473:0.0941627 943:0.093492 370:0.0923767 1473:0.0922489 220:0.0916926 167:0.0887471 592:0.0865272 949:0.0862792 637:0.0858202 151:0.0858095 672:0.0833235 124:0.0828748 1348:0.0824995 255:0.0824575 273:0.0817554 1327:0.0815255 16:0.080803 438:0.0807032 451:0.0806827 15:0.0799285 369:0.0796991 282:0.0795871 629:0.079404 1076:0.0782826 434:0.0764418 180:0.0764035 869:0.0760056 1469:0.074161
5:1 845:0.272592 295:0.20639 465:0.167404 404:0.156016 437:0.152192 168:0.14744 282:0.147367 597:0.134983 763:0.133299 609:0.130144 1026:0.129047 154:0.122007 149:0.119094 562:0.115953 1138:0.114394 531:0.110688 757:0.110055 147:0.109658 300:0.109529 55:0.10533 21:0.104368 1419:0.10363 288:0.103279 661:0.101039 411:0.0999219 18:0.0997606 418:0.0993315 579:0.0990317 16:0.0982712 175:0.0968329 157:0.0966401 20:0.0962755 971:0.0953658 489:0.0950696 725:0.0947768 858:0.0937493 585:0.0934672 950:0.0932585 527:0.0926085 417:0.0922156 305:0.0913823 857:0.0912953 451:0.0912129 17:0.0909236 286:0.0908477 133:0.0906699 368:0.0903413 983:0.0899739 202:0.0892295
6:1 106:0.402808 1014:0.370711 294:0.349515 109:0.319546 155:0.312072 454:0.294658 1354:0.269939 1328:0.238125 289:0.233157 273:0.229856 1260:0.226921 429:0.225771 455:0.216479 1168:0.2134 592:0.208821 892:0.208291 1017:0.178274 385:0.177847 31:0.176666 1279:0.157432 996:0.157079 1172:0.15176 646:0.148785 275:0.148153 1398:0.14248 1291:0.134345 1021:0.132018 1214:0.130395 217:0.12964 1051:0.128911 111:0.128147 935:0.124975 139:0.124656 426:0.117768 375:0.116088 733:0.115902 160:0.113885 846:0.113776 1177:0.112543 1431:0.11089 564:0.110004 532:0.107764 52:0.107736 594:0.102851 481:0.102303 179:0.0990137 722:0.0983028 245:0.0977392 1412:0.0974205
7:1 148:0.708204 276:0.155648 587:0.138915 261:0.122778 1473:0.11663 586:0.110105 179:0.102959 143:0.101548 532:0.0994335 426:0.0976221 263:0.0975179 729:0.0974925 554:0.0970937 128:0.0970318 594:0.0924666 52:0.0899199 494:0.0896694 555:0.0876822 891:0.0865863 147:0.086455 1055:0.0852515 1154:0.0845496 839:0.0841204 1412:0.0839853 20:0.0824616 1309:0.082212 592:0.0819671 452:0.0799125 756:0.0788058 425:0.0775331 1298:0.0760108 758:0.0745906 10:0.0743216 259:0.0738078 284:0.0727001 1262:0.0724026 1392:0.0718265 126:0.0710217 1399:0.0702513 1164:0.0698616 401:0.0698425 588:0.0696796 881:0.0694853 300:0.0694261 716:0.0692121 175:0.0691758 774:0.0691631 16:0.0684974 496:0.068008
8:1 1170:0.192462 288:0.179271 163:0.178568 1307:0.178206 1393:0.169175 308:0.146186 504:0.145098 1295:0.144996 95:0.144916 759:0.138369 1131:0.134004 1002:0.132048 824:0.127678 2:0.120737 265:0.119396 192:0.118788 1016:0.117625 66:0.116627 570:0.116002 974:0.113772 1138:0.11325 1127:0.111692 411:0.110662 127:0.109779 1133:0.104986 1395:0.104724 167:0.104607 557:0.104487 1004:0.10321 55:0.0999595 973:0.0968566 285:0.0962918 1185:0.0957757 490:0.0949381 18:0.0948124 161:0.0946678 1398:0.0937926 985:0.0933747 1380:0.0918885 725:0.0915248 1467:0.0909526 852:0.0899418 1303:0.089807 848:0.0872743 845:0.0869644 993:0.0867987 420:0.0843801 858:0.0842547 1102:0.0841851
9:1 146:0.69357 168:0.303536 584:0.179457 286:0.137647 55:0.124964 147:0.105019 731:0.104933 16:0.103694 300:0.102805 21:0.102759 592:0.102487 149:0.0948328 17:0.0913216 1151:0.0888197 562:0.0885204 157:0.0866774 13:0.0849197 19:0.0848743 282:0.0847817 154:0.0847721 18:0.0844025 275:0.0841717 67:0.0814392 757:0.0812559 417:0.0800783 973:0.0799023 531:0.0796542 133:0.0795279 302:0.0789779 160:0.0776918 5:0.0775825 1137:0.0773193 140:0.0772148 77:0.0766522 451:0.0759795 1254:0.0755794 10:0.0736347 504:0.0728629 579:0.072708 402:0.0721712 848:0.0720949 1011:0.0718147 505:0.0717649 800:0.0715838 281:0.0707618 497:0.0706314 355:0.0705512 134:0.070418 728:0.0702221
10:1 403:0.324134 161:0.294343 972:0.286709 841:0.283374 275:0.281778 842:0.271403 291:0.261713 287:0.257643 596:0.256697 290:0.254564 400:0.252592 1262:0.243631 286:0.235128 1136:0.232439 52:0.231383 839:0.226891 1254:0.224415 589:0.223442 409:0.222421 977:0.221753 973:0.21012 594:0.203841 406:0.202035 719:0.201536 511:0.195108 134:0.194116 861:0.19405 1409:0.193998 157:0.189225 508:0.188986 426:0.181678 588:0.179796 1123:0.175502 595:0.160327 292:0.159783 1435:0.155347 150:0.154535 857:0.151847 1269:0.147473 505:0.146417 728:0.144242 494:0.144202 851:0.142543 16:0.139438 401:0.137255 201:0.136677 848:0.136207 277:0.134764 978:0.133277
11:1 63:0.428549 870:0.273022 195:0.244041 182:0.223128 605:0.198729 420:0.168765 280:0.156265 20:0.155545 64:0.144004 1267:0.133439 1126:0.131394 758:0.1291 1295:0.124082 984:0.113718 1420:0.109406 659:0.109354 159:0.107206 402:0.104734 604:0.103052 300:0.102412 892:0.102098 187:0.101436 54:0.0975314 572:0.0968107 1256:0.0964887 694:0.0954769 1305:0.0948705 1007:0.0947735 1128:0.0932453 982:0.0905264 1273:0.0847706 1282:0.0827294 844:0.0797427 215:0.0793039 1260:0.0791595 179:0.0788096 128:0.078197 99:0.0773929 178:0.0749865 1440:0.074425 296:0.0731574 863:0.0721988 167:0.0707674 14:0.0704307 1020:0.0702262 879:0.0681475 896:0.0675691 426:0.0669241 1177:0.0663344
